it took 2.7 hours to brute force the answer
doing ~808 billion operations over 10 seconds

TimeStamp:363390304085461 Diff:791615631913 DC:15
TimeStamp:364172642834629 Diff:782259384714 DC:15
TimeStamp:364946113819181 Diff:773399012999 DC:15
TimeStamp:365734042108749 Diff:787911772886 DC:15
TimeStamp:366529943298574 Diff:795832346477 DC:15
TimeStamp:367333096682678 Diff:803083230576 DC:15
TimeStamp:368126510638210 Diff:793319431454 DC:15
TimeStamp:368919650485455 Diff:793050926290 DC:15
TimeStamp:369725150243876 Diff:805373622344 DC:15
TimeStamp:370526039903784 Diff:800765194010 DC:15
TimeStamp:371325876953661 Diff:799645121729 DC:15
TimeStamp:372129155030240 Diff:803218309533 DC:15
TimeStamp:372929390001015 Diff:800150634849 DC:15
TimeStamp:373748906648046 Diff:819444803491 DC:15
TimeStamp:374565851846260 Diff:816839003317 DC:15
TimeStamp:375387715233617 Diff:821756031328 DC:15
TimeStamp:376178425084607 Diff:790611687256 DC:15
TimeStamp:376954534684534 Diff:776043729726 DC:15
TimeStamp:377758346815122 Diff:803748833268 DC:15
TimeStamp:378583692419317 Diff:825296016887 DC:15
TimeStamp:379411789786152 Diff:827954753141 DC:15
TimeStamp:380218244112873 Diff:806343326228 DC:15
TimeStamp:381020018558370 Diff:801653351209 DC:15
TimeStamp:381817692065342 Diff:797602958587 DC:15
TimeStamp:382618750214398 Diff:801000525176 DC:15
TimeStamp:383418718236599 Diff:799878042885 DC:15
TimeStamp:384216289737644 Diff:797507717516 DC:15
TimeStamp:385034222884299 Diff:817884504720 DC:15
TimeStamp:385851802005894 Diff:817478416833 DC:15
TimeStamp:386673846083300 Diff:821920222124 DC:15
TimeStamp:387495030274547 Diff:821112882597 DC:15
TimeStamp:388316220211955 Diff:821117641916 DC:15
TimeStamp:389138065878226 Diff:821727322760 DC:15
TimeStamp:389956285061816 Diff:818107907839 DC:15
TimeStamp:390775527232147 Diff:819135642480 DC:15
TimeStamp:391596660402100 Diff:821013525878 DC:15
TimeStamp:392420575821019 Diff:823789112158 DC:15
TimeStamp:393241714475698 Diff:821016187707 DC:15
TimeStamp:394059053075290 Diff:817269092740 DC:15
TimeStamp:394882928462801 Diff:823780989643 DC:15
TimeStamp:395709587476169 Diff:826552939873 DC:15
TimeStamp:396534546981737 Diff:824845378072 DC:15
TimeStamp:397360778196694 Diff:826141445991 DC:15
TimeStamp:398182308958798 Diff:821429877042 DC:15
TimeStamp:399005174913320 Diff:822815545647 DC:15
TimeStamp:399826676903751 Diff:821400888408 DC:15
TimeStamp:400651666555479 Diff:824886753316 DC:15
TimeStamp:401469517689073 Diff:817789572563 DC:15
TimeStamp:402290880440425 Diff:821297320482 DC:15
TimeStamp:403109167131941 Diff:818197444218 DC:15
TimeStamp:403932665061402 Diff:823374422158 DC:15
TimeStamp:404737901906363 Diff:805117038616 DC:15
TimeStamp:405558294749491 Diff:820262472405 DC:15
TimeStamp:406380570880209 Diff:822150595040 DC:15
TimeStamp:407205889019906 Diff:825157288658 DC:15
TimeStamp:408027291457692 Diff:821264100207 DC:15
TimeStamp:408847046543059 Diff:819658198758 DC:15
TimeStamp:409663169518582 Diff:816008826391 DC:15
TimeStamp:410457847853106 Diff:794541142451 DC:15
TimeStamp:411248096495494 Diff:790165912334 DC:15
TimeStamp:412055177786617 Diff:806998369951 DC:15
TimeStamp:412880431741918 Diff:825158676367 DC:15
TimeStamp:413708230729682 Diff:827652229574 DC:15
TimeStamp:414531419861136 Diff:823064443186 DC:15
TimeStamp:415324562007206 Diff:793043654190 DC:15
